     PKT_No. 	    TimeStamp 	    ax(m/s^2) 	    ay(m/s^2) 	    az(m/s^2) 	    gx(rad/s) 	    gy(rad/s) 	    gz(rad/s) 


         3930 	        0.000 	        -0.06 	        -2.82 	         9.40 	        -0.06 	         0.04 	        -0.10 
         3931 	        0.016 	         0.06 	        -2.77 	         9.43 	        -0.03 	        -0.01 	        -0.10 
         3932 	        0.032 	         0.06 	        -2.79 	         9.46 	        -0.01 	        -0.04 	        -0.10 
         3933 	        0.048 	         0.20 	        -2.80 	         9.43 	        -0.03 	        -0.03 	        -0.06 
         3934 	        0.064 	         0.04 	        -2.88 	         9.33 	        -0.06 	        -0.03 	        -0.03 
         3935 	        0.080 	        -0.00 	        -2.94 	         9.13 	        -0.03 	         0.00 	        -0.07 
         3936 	        0.096 	         0.11 	        -2.78 	         9.24 	        -0.03 	         0.01 	        -0.07 
         3937 	        0.112 	         0.21 	        -2.72 	         9.27 	        -0.02 	         0.00 	        -0.03 
         3938 	        0.128 	         0.07 	        -2.85 	         9.12 	         0.01 	        -0.02 	         0.00 
         3939 	        0.144 	        -0.09 	        -2.96 	         9.22 	         0.02 	        -0.02 	         0.00 
         3940 	        0.160 	        -0.02 	        -2.91 	         9.43 	         0.02 	        -0.03 	         0.00 
         3941 	        0.176 	        -0.12 	        -2.91 	         9.25 	         0.02 	        -0.01 	        -0.02 
         3942 	        0.192 	         0.12 	        -2.80 	         9.29 	         0.00 	         0.00 	        -0.02 
         3943 	        0.208 	         0.06 	        -2.74 	         9.42 	        -0.00 	        -0.01 	         0.01 
         3944 	        0.224 	        -0.02 	        -2.95 	         9.16 	        -0.01 	         0.01 	        -0.01 
         3945 	        0.240 	        -0.00 	        -2.93 	         9.33 	         0.01 	         0.02 	        -0.02 
         3946 	        0.256 	         0.12 	        -2.75 	         9.35 	        -0.00 	        -0.01 	         0.00 
         3947 	        0.272 	        -0.02 	        -2.74 	         9.47 	        -0.01 	        -0.03 	         0.01 
         3948 	        0.288 	         0.04 	        -2.87 	         9.00 	        -0.02 	         0.00 	        -0.00 
         3949 	        0.304 	         0.06 	        -2.99 	         9.25 	         0.02 	         0.01 	        -0.01 
         3950 	        0.320 	         0.02 	        -2.90 	         9.36 	         0.02 	         0.02 	        -0.01 
         3951 	        0.336 	         0.05 	        -2.79 	         9.40 	         0.00 	         0.00 	        -0.01 
         3952 	        0.352 	         0.00 	        -2.73 	         9.37 	        -0.01 	        -0.00 	         0.01 
         3953 	        0.368 	        -0.03 	        -2.89 	         9.25 	         0.01 	        -0.01 	         0.01 
         3954 	        0.384 	        -0.11 	        -2.91 	         9.49 	         0.01 	        -0.03 	         0.01 
         3955 	        0.400 	        -0.19 	        -2.96 	         9.27 	        -0.01 	        -0.03 	        -0.01 
         3956 	        0.416 	        -0.05 	        -2.96 	         9.19 	        -0.05 	         0.02 	        -0.06 
         3957 	        0.432 	         0.16 	        -2.81 	         9.31 	        -0.02 	        -0.00 	        -0.04 
         3958 	        0.448 	         0.02 	        -2.84 	         9.26 	        -0.01 	         0.01 	        -0.04 
         3959 	        0.464 	         0.06 	        -2.88 	         9.26 	        -0.02 	         0.01 	        -0.04 
